Name,Possible Value,Increment,Unit,Range,Read Only,Title,Description,,,,,,
ACRO_BAL_PITCH,1,,,0 3,FALSE,aaa aaa,rate at which pitch angle returns to level in acro mode. A higher value causes the vehicle to return to level faster.,1,1,MAV_PARAM_UNIT.UNKNOWN,"0,3",true,"ACRO_BAL_PITCH(1,1,MAV_PARAM_UNIT.UNKNOWN,0,3,true,""aaa aaa"",""rate at which pitch angle returns to level in acro mode. A higher value causes the vehicle to return to level faster.""),"
ACRO_BAL_ROLL,1,,,0 3,FALSE,,rate at which roll angle returns to level in acro mode. A higher value causes the vehicle to return to level faster.,1,1,MAV_PARAM_UNIT.UNKNOWN,"0,3",true,"ACRO_BAL_ROLL(1,1,MAV_PARAM_UNIT.UNKNOWN,0,3,true,"""",""rate at which roll angle returns to level in acro mode. A higher value causes the vehicle to return to level faster.""),"
ACRO_EXPO,0.3,,,,FALSE,,Coming soon,0.3,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"ACRO_EXPO(0.3,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"""",""Coming soon""),"
ACRO_RP_P,4.5,,I43475,,FALSE,,Converts pilot roll and pitch into a desired rate of rotation in ACRO and SPORT mode. Higher values mean faster rate of rotation.,4.5,1,MAV_PARAM_UNIT.I43475,null,true,"ACRO_RP_P(4.5,1,MAV_PARAM_UNIT.I43475,null,true,"""",""Converts pilot roll and pitch into a desired rate of rotation in ACRO and SPORT mode. Higher values mean faster rate of rotation.""),"
ACRO_TRAINER,2,,List,0:Disabled 1:Leveling 2:LevelingAndLimited,FALSE,,,2,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Leveling"");put(2,""LevelingAndLimited"");}};",true,"ACRO_TRAINER(2,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Leveling"");put(2,""LevelingAndLimited"");}};,true,"""",""""),"
ACRO_YAW_P,4.5,,I43475,,FALSE,,"Converts pilot yaw input into a desired rate of rotation in ACRO, Stabilize and SPORT modes. Higher values mean faster rate of rotation.",4.5,1,MAV_PARAM_UNIT.I43475,null,true,"ACRO_YAW_P(4.5,1,MAV_PARAM_UNIT.I43475,null,true,"""",""Converts pilot yaw input into a desired rate of rotation in ACRO, Stabilize and SPORT modes. Higher values mean faster rate of rotation.""),"
AHRS_COMP_BETA,0.1,,,0.001 0.5,FALSE,,This controls the time constant for the cross-over frequency used to fuse AHRS (airspeed and heading) and GPS data to estimate ground velocity. Time constant is 0.1/beta. A larger time constant will use GPS data less and a small time constant will use air data less.,0.1,1,MAV_PARAM_UNIT.UNKNOWN,"0.001,0.5",true,"AHRS_COMP_BETA(0.1,1,MAV_PARAM_UNIT.UNKNOWN,0.001,0.5,true,"""",""This controls the time constant for the cross-over frequency used to fuse AHRS (airspeed and heading) and GPS data to estimate ground velocity. Time constant is 0.1/beta. A larger time constant will use GPS data less and a small time constant will use air data less.""),"
AHRS_GPS_GAIN,1,,,0.0 1.0,FALSE,,This controls how how much to use the GPS to correct the attitude. This should never be set to zero for a plane as it would result in the plane losing control in turns. For a plane please use the default value of 1.0.,1,1,MAV_PARAM_UNIT.UNKNOWN,"0.0,1.0",true,"AHRS_GPS_GAIN(1,1,MAV_PARAM_UNIT.UNKNOWN,0.0,1.0,true,"""",""This controls how how much to use the GPS to correct the attitude. This should never be set to zero for a plane as it would result in the plane losing control in turns. For a plane please use the default value of 1.0.""),"
AHRS_GPS_MINSATS,6,,,0 10,FALSE,,"Minimum number of satellites visible to use GPS for velocity based corrections attitude correction. This defaults to 6, which is about the point at which the velocity numbers from a GPS become too unreliable for accurate correction of the accelerometers.",6,1,MAV_PARAM_UNIT.UNKNOWN,"0,10",true,"AHRS_GPS_MINSATS(6,1,MAV_PARAM_UNIT.UNKNOWN,0,10,true,"""",""Minimum number of satellites visible to use GPS for velocity based corrections attitude correction. This defaults to 6, which is about the point at which the velocity numbers from a GPS become too unreliable for accurate correction of the accelerometers.""),"
AHRS_GPS_USE,1,,List,0:Disabled 1:Enabled,FALSE,,,1,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Enabled"");}};",true,"AHRS_GPS_USE(1,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Enabled"");}};,true,"""",""""),"
